Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",52.451000,-28.448000,180.000000,bottom
"C2","22uF","C_0805_2012Metric",14.274800,-12.141200,0.000000,bottom
"C3","100nF","C_0603_1608Metric",14.274800,-10.261600,0.000000,bottom
"C4","10uF","C_0805_2012Metric",5.842000,-42.291000,-90.000000,bottom
"C5","10uF","C_0805_2012Metric",39.812000,-18.161000,0.000000,bottom
"C6","22uF","C_0805_2012Metric",43.495000,-18.161000,180.000000,bottom
"D1","LED_RBAG","LED_RGB_2.1mm_Foshan_Nationstar",14.351000,-15.175000,0.000000,bottom
"J19","XUNPU TYPEC-304-ACP16 ","USB_C_Receptacle_XUNPU_TYPEC-304-ACP16",59.690000,-32.512000,-90.000000,bottom
"J20","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",35.560000,-4.826000,-90.000000,bottom
"J21","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",0.015000,-4.826000,-90.000000,bottom
"J22","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",33.401000,-39.243000,0.000000,bottom
"J23","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",26.548000,-42.164000,90.000000,bottom
"J24","Micro_SD_XUNPU__TF-115","Micro_SD_XUNPU_TF-115",57.766000,-17.653000,-90.000000,bottom
"Q1","AO3400A","SOT-23",5.461000,-16.891000,-90.000000,bottom
"Q2","AO3400A","SOT-23",9.017000,-16.891000,-90.000000,bottom
"Q3","AO3401A","SOT-23",26.289000,-15.399580,0.000000,bottom
"Q4","AO3401A","SOT-23",26.289000,-11.843580,0.000000,bottom
"Q5","MMDT2907A-7-F","SOT-363_SC-70-6",22.860000,-6.922000,90.000000,bottom
"Q6","MMDT2907A-7-F","SOT-363_SC-70-6",47.586000,-31.711000,90.000000,bottom
"Q7","MMDT2907A-7-F","SOT-363_SC-70-6",30.226000,-3.635500,-90.000000,bottom
"Q8","MMDT2907A-7-F","SOT-363_SC-70-6",40.236500,-34.996000,-90.000000,bottom
"Q9","AO3401A","SOT-23",22.860000,-3.112000,90.000000,bottom
"Q10","AO3401A","SOT-23",47.601000,-35.521000,-90.000000,bottom
"Q11","AO3401A","SOT-23",30.226000,-7.445500,-90.000000,bottom
"Q12","AO3401A","SOT-23",40.236500,-31.186000,90.000000,bottom
"R2","5.1K","R_0603_1608Metric",52.451000,-35.052000,180.000000,bottom
"R3","5.1K","R_0603_1608Metric",52.451000,-30.099000,180.000000,bottom
"R4","100R","R_0603_1608Metric",13.589000,-19.177000,-90.000000,bottom
"R5","150R","R_0603_1608Metric",15.240000,-19.177000,-90.000000,bottom
"R6","510R","R_0603_1608Metric",16.891000,-19.177000,-90.000000,bottom
"R7","22R","R_0603_1608Metric",52.451000,-31.750000,180.000000,bottom
"R8","22R","R_0603_1608Metric",52.451000,-33.401000,180.000000,bottom
"R9","10k","R_0603_1608Metric",7.874000,-42.291000,90.000000,bottom
"R10","150R","R_0603_1608Metric",9.017000,-13.843000,180.000000,bottom
"R11","10k","R_0603_1608Metric",6.985000,-19.685000,0.000000,bottom
"R12","150R","R_0603_1608Metric",5.461000,-13.843000,180.000000,bottom
"R13","150R","R_0603_1608Metric",11.938000,-19.177000,90.000000,bottom
"R14","10k","R_0603_1608Metric",23.368000,-11.843580,-90.000000,bottom
"R15","4K7","R_0603_1608Metric",29.210000,-15.399580,90.000000,bottom
"R16","4K7","R_0603_1608Metric",29.210000,-11.843580,90.000000,bottom
"R17","100k","R_0603_1608Metric",27.432000,-6.922000,-90.000000,bottom
"R18","100k","R_0603_1608Metric",25.654000,-6.922000,-90.000000,bottom
"R19","100k","R_0603_1608Metric",44.807000,-31.711000,90.000000,bottom
"R20","100k","R_0603_1608Metric",43.029000,-31.711000,90.000000,bottom
"R21","100k","R_0603_1608Metric",25.654000,-3.635500,90.000000,bottom
"R22","100k","R_0603_1608Metric",27.432000,-3.635500,90.000000,bottom
"R23","100k","R_0603_1608Metric",43.030500,-34.996000,-90.000000,bottom
"R24","100k","R_0603_1608Metric",44.808500,-34.996000,-90.000000,bottom
"SW1","Reset","SW_SPST_TL3342",42.037000,-41.402000,0.000000,bottom
"SW2","Boot","SW_SPST_TL3342",50.673000,-41.402000,0.000000,bottom
"U1","ESP32-S2-WROVER","ESP32-S2-WROVER",16.510000,-30.480000,-90.000000,bottom
"U2","AMS1117-3.3","SOT-223-3_TabPin2",41.717000,-24.257000,90.000000,bottom
